comuna,titulo,precio_uf,m2_totales,m2_construidos,banos,dormitorios,antiguedad_anos,estacionamientos,jardin,piscina,quincho,condominio_cerrado,educacion,comercios,salud,url,tipo_vivienda
Cerro Navia,Casa 3d/2b Más Depto 2d/1b - Cerro Navia,,126.0,140.0,3,5,42,1,True,True,True,False,True,True,True,https://portalinmobiliario.com/MLC-3014526866-casa-3d2b-mas-depto-2d1b-cerro-navia-_JM,casa
Cerro Navia,Casa En Venta De 4 Dorm. En Cerro Navia,,5330000.0,144.0,2,4,65,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3210152670-casa-en-venta-de-4-dorm-en-cerro-navia-_JM,casa
Cerro Navia,Casa Eusebio Lillo Id: 134032,,160.0,90.0,1,4,49,0,True,True,True,False,True,True,True,https://portalinmobiliario.com/MLC-1632664667-casa-eusebio-lillo-id-134032-_JM,casa
Cerro Navia,Venta Casa Cerro Navia,3045.0,162.0,85.81,3,5,2025,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3185594928-venta-casa-cerro-navia-_JM,casa
Cerro Navia,Amplia Casa En Luis Lazzarini Comuna  Cerro Navia,2360.0,162.0,8852.0,2,4,43,0,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1720982009-amplia-casa-en-luis-lazzarini-comuna-cerro-navia-_JM,casa
Cerro Navia,Casa En Venta De 5 Dorm. En Cerro Navia,5300.0,198.0,257.0,4,5,57,0,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1672919455-casa-en-venta-de-5-dorm-en-cerro-navia-_JM,casa
Cerro Navia,Venta Casa | 2 D | 1 B | Depto. Independiente | Cerro Navia,,159.0,86.0,1,2,35,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2971825162-venta-casa-2-d-1-b-depto-independiente-cerro-navia-_JM,casa
Cerro Navia,Venta De Casa En Cerro Navia,,153.0,59.0,1,4,0,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3108882562-venta-de-casa-en-cerro-navia-_JM,casa
Cerro Navia,Casa Con 2 Dptos Interiores Y  Local Comercial,,191.0,133.0,3,6,46,3,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-1720974055-casa-con-2-dptos-interiores-y-local-comercial-_JM,casa
Cerro Navia,Casa En Venta De 4 Dorm. En Cerro Navia,,144.0,90.0,1,4,52,1,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-2983345632-casa-en-venta-de-4-dorm-en-cerro-navia-_JM,casa
Cerro Navia,Se Vende Casa Esquina 5d 2b En Cerro Navia Con Amplio Terren,,216.0,110.0,2,5,21,2,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3067378208-se-vende-casa-esquina-5d-2b-en-cerro-navia-con-amplio-terren-_JM,casa
Cerro Navia,Venta Casa 3hab 1ba Cerro Navia,,85.0,70.0,1,3,35,0,True,True,True,True,True,True,True,https://portalinmobiliario.com/MLC-3218034828-venta-casa-3hab-1ba-cerro-navia-_JM,casa
